"","V1","V2"
"A0A7N9B0E6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8X6G7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672HAY3","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"U3INX3","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L1IVK9","C-C motif chemokine (Fragment)","4"
"A0A672HKS8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672HHR8","C-C motif chemokine","4"
"A0A2D0RA04","C-C motif chemokine","4"
"A0A6P8SMY2","C-C motif chemokine","4"
"G3PMQ6","C-C motif chemokine","4"
"A0A7K4K132","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A672ICK1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672IC60","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672IUL1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672G507","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A2D0SXA2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A2D0REV6","C-C motif chemokine","4"
"Q65YY1","C-C motif chemokine","4"
"A0A091VBD5","C-C motif chemokine","4"
"A0A226P8J1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L0WEN0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7N8XQV5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A2D0R942","C-C motif chemokine","4"
"A0A672RGA4","C-C motif chemokine","4"
"A0A091V6B6","C-C motif chemokine (Fragment)","4"
"A0A7K7V1R3","C-C motif chemokine (Fragment)","4"
"A0A7N8YI44","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672HL76","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7N8XSF7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L3QIW4","C-C motif chemokine (Fragment)","4"
"A0A7N8XPM9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q3LBT0","C-C motif chemokine","4"
"A0A672G1G1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q2WN55","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q2USI2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q3LP05","C-C motif chemokine","4"
"A0A2D0RKY5","C-C motif chemokine","4"
"A0A6P8P1U4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"U3IZ77","C-C motif chemokine","4"
"A0A7K6M9M2","C-C motif chemokine (Fragment)","4"
"A0A3Q3L0S5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A672H3W0","C-C motif chemokine","4"
"A0A7K5ITK8","C-C motif chemokine (Fragment)","4"
"A0A7K5JFW7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A2D0RDQ9","C-C motif chemokine","4"
"A0A2D0SYG3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B5QZ72","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7VKY3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K4KUA6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A672JD87","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A672IDY1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"G3Q1X9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A091VDZ1","C-C motif chemokine (Fragment)","4"
"A0A7K7UV87","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L1J483","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q3LN57","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7N8YES3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"G3NQE3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"G3NQF0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"G3NVN6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L3QVW7","C-C motif chemokine (Fragment)","4"
"A0A672GKS9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A0M3N0B0","C-C motif chemokine","4"
"A0A7K7V3Q1","C-C motif chemokine (Fragment)","4"
"G3Q9E9","C-C motif chemokine","4"
"A0A7K4KID2","C-C motif chemokine (Fragment)","4"
"A0A672IU25","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8WJ43","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7N8WKY7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672GWQ4","C-C motif chemokine","4"
"A0A3Q3KS37","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8XFK2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8WKJ8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7N8WRX6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A226M7N4","C-C motif chemokine (Fragment)","4"
"A0A672G3B6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N9ANN9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672QCH2","C-C motif chemokine","4"
"A0A7N8X0P8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672HB13","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A672G6P4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7N8XHF3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672FZD7","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6SUG4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"G3PVL6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A672G1C3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A672H3Y9","C-C motif chemokine","4"
"A0A6P8PPV4","C-C motif chemokine","4"
"A0A493TGW0","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","3"
"A0A6P8SHB9","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7K8XBJ2","C-X-C motif chemokine (Fragment)","4"
"A0A7L1T8R3","C-C motif chemokine (Fragment)","4"
"A0A218UYC9","C-C motif chemokine","4"
"A0A7K6FUX9","C-C motif chemokine (Fragment)","4"
"A0A7L1XDH1","C-C motif chemokine (Fragment)","4"
"A0A6G0HZ53","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7EH40","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A093T7E1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A091MB22","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A4Q816","Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8)","4"
"A0A7K6KM80","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6P8SM16","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q2WMR2","C-C motif chemokine","4"
"A0A493SS80","C-C motif chemokine","4"
"A0A493SY79","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L3S8G0","C-C motif chemokine (Fragment)","4"
"A0A493TQR8","C-C motif chemokine","2"
"A0A141R8A2","Toll-like receptor 4","1"
"A0A093R1I7","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A0S7I0G6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A091M7W0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6F574","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K8XSG8","C-C motif chemokine (Fragment)","4"
"A0A7L1XS47","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A218UTZ0","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6P8SNG0","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7L1XUG9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7L3RGL8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A091LTC0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q2WB26","C-C motif chemokine","4"
"A0A0S7GZY2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A3B5R3D5","C-X-C motif chemokine","4"
"A0A6G0I3G7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L1XM26","C-C motif chemokine (Fragment)","4"
"A0A3B3T3S9","C-C motif chemokine","4"
"A0A2I4BLH0","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K9D806","C-C motif chemokine (Fragment)","4"
"A0A7L3YB83","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A673YE35","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7J6B151","C-C motif chemokine","4"
"A0A226MM55","C-C motif chemokine","4"
"A0A2I4B879","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7PED2","C-C motif chemokine (Fragment)","4"
"A0A673YDM5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K7F4Z4","C-C motif chemokine (Fragment)","4"
"A0A667X2W2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7J6B126","C-C motif chemokine (Fragment)","4"
"A0A7K9AUN2","C-C motif chemokine (Fragment)","4"
"W5MJ41","C-C motif chemokine","4"
"A0A3B3RFC4","C-X-C motif chemokine","4"
"A0A673XZJ8","C-C motif chemokine","4"
"A0A674C3X4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667ZYS3","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7J6B4N9","C-C motif chemokine","4"
"A0A7J6B0P3","C-C motif chemokine","4"
"A0A093FP66","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7L3YN51","C-C motif chemokine (Fragment)","4"
"A0A674CFY5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A667ZS07","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y3Y4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K9AUM0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K7FP79","C-C motif chemokine (Fragment)","4"
"A0A7K7FPT2","C-C motif chemokine (Fragment)","4"
"A0A674AWV2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674BFQ8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A673Y0G0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A151M0Y8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L2HN30","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7L4KFS5","C-C motif chemokine (Fragment)","4"
"A0A7K7TG14","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K5WPC2","C-C motif chemokine (Fragment)","4"
"A0A7J6B117","C-C motif chemokine","4"
"A0A7K5WTC4","C-C motif chemokine (Fragment)","4"
"A0A7L2H3C8","C-C motif chemokine (Fragment)","4"
"A0A7K4JNV6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7J6B0U2","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K4IS94","C-C motif chemokine (Fragment)","4"
"A0A151NT95","C-C motif chemokine","4"
"A0A3B3S735","C-C motif chemokine","4"
"A0A2I4BEZ6","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A674C458","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K9BVQ3","C-C motif chemokine (Fragment)","4"
"A0A151MKU0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674ACA6","C-C motif chemokine","4"
"A0A7J6B3Q8","C-C motif chemokine","4"
"A0A7K5KNR0","C-X-C motif chemokine (Fragment)","4"
"A0A151NMS5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K4PI32","C-C motif chemokine (Fragment)","4"
"A0A7L3HW22","C-C motif chemokine (Fragment)","4"
"A0A7K4PSL0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6GVA7","C-C motif chemokine (Fragment)","4"
"A0A3B4ERK6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B4H003","C-C motif chemokine","4"
"A0A7K5Q9N8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L0LBJ8","C-C motif chemokine (Fragment)","4"
"A0A7K4ZUD2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6I9PBW9","C-C motif chemokine","4"
"A0A3Q2CF95","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2ICR4","C-C motif chemokine (Fragment)","4"
"A0A6P9DUU4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q1H3T6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1WJK1","C-C motif chemokine (Fragment)","4"
"A0A2I0U6R9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2I2H3","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A663LX28","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2BAS3","C-C motif chemokine (Fragment)","4"
"A0A3B3Y6V6","C-C motif chemokine","4"
"A0A3Q2CC98","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q2GPK6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L0LFE5","C-C motif chemokine (Fragment)","4"
"A0A151N6V2","C-C motif chemokine","4"
"A0A7L3IDS8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q1GWV5","C-C motif chemokine","4"
"A0A7K6X313","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q1GXS6","C-C motif chemokine","4"
"A0A3Q2DRH9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2GNJ3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6I9NUZ3","C-C motif chemokine","4"
"A0A3B4ESX6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3B3XPE3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2IKH6","C-X-C motif chemokine (Fragment)","4"
"A0A6I9PNQ0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B4FN68","C-C motif chemokine","4"
"A0A3B3WP81","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A099Z0S3","C-C motif chemokine (Fragment)","4"
"A0A091HC17","C-C motif chemokine (Fragment)","4"
"A0A7K5ADB0","C-C motif chemokine (Fragment)","4"
"A0A6I9NQC4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K5QZM7","C-C motif chemokine (Fragment)","4"
"A0A091JZP4","C-C motif chemokine (Fragment)","4"
"A0A7L2ABH5","C-C motif chemokine (Fragment)","4"
"A0A091H3Q4","C-C motif chemokine (Fragment)","4"
"A0A7K5QQK9","C-C motif chemokine (Fragment)","4"
"A0A7L2I7Z4","C-C motif chemokine (Fragment)","4"
"A0A6P9BL01","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A1L8H868","C-C motif chemokine","4"
"A0A7L2AVE8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K6GD69","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A2I0TQ53","C-C motif chemokine","4"
"A0A6J2GX07","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A663LXN5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A2I0UPG8","C-C motif chemokine","4"
"A0A3Q2GJV7","C-C motif chemokine","4"
"A0A6P9AKA5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L3DZE2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J2HMZ1","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3B4GDQ2","C-C motif chemokine","4"
"A0A3B4FMX7","C-C motif chemokine","4"
"A0A6J2GNI2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3X6C8","C-X-C motif chemokine","4"
"A0A3B3Y770","C-C motif chemokine","4"
"A0A6J2GFK5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J2GVH2","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L2IU38","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6I9PVF6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6GS87","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7L1WKA2","C-X-C motif chemokine (Fragment)","4"
"A0A3Q2CFA9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2GNC4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8KMZ8","C-C motif chemokine (Fragment)","4"
"A0A3Q2FYS9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J2H339","C-C motif chemokine","4"
"A0A7L2I534","C-C motif chemokine (Fragment)","4"
"A0A6I9PA86","C-C motif chemokine","4"
"A0A3B3WHV9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3B3WQS5","C-C motif chemokine","4"
"A0A7L1VUS6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7R5KKX9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7R5KUE9","C-C motif chemokine","4"
"A0A151NQZ8","C-C motif chemokine","2"
"A0A7L3IDK0","C-C motif chemokine (Fragment)","4"
"A0A7L2XHJ4","C-C motif chemokine (Fragment)","4"
"A0A7L2ALU6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6I9P070","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091H3C9","C-C motif chemokine (Fragment)","4"
"A0A226MQS9","C-C motif chemokine","4"
"A0A7K5LKG1","C-C motif chemokine (Fragment)","4"
"A0A7L3E6D9","C-C motif chemokine (Fragment)","4"
"A0A7L3FF45","C-C motif chemokine (Fragment)","4"
"A0A663N5D3","C-C motif chemokine","4"
"A0A091VSL4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K5PVK5","C-C motif chemokine (Fragment)","4"
"A0A7K5PJ74","C-C motif chemokine (Fragment)","4"
"A0A673WZC3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A093FRG8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A091GBY6","C-C motif chemokine (Fragment)","4"
"A0A091U309","C-C motif chemokine","4"
"A0A7K7PG97","C-X-C motif chemokine (Fragment)","4"
"A0A667Y5K7","C-C motif chemokine","4"
"A0A7K5PNX7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q2Y5X9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A674BFR4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
